PlayerName,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Pace,DEff,DvP,L2FGA,L5FGA,SFGA,L2Min,L5Min,SMin,L5FP,SFP,Floor,Ceil,ProjMin,ProjFP,ProjVal,Min,FP,Value
T.J. McConnell,NA,None,PG,4200,PHI,@CHI,2,106,15,13,99,107,4,3,4,5,21,21,24,13.2,20.3,9,31.6,24,19.9,4.7,31.1,27.5,6.5
David Nwaba,9,None,PG/SG,4200,CHI,PHI,2,104,13,16,103,104,5,6,7,5,32,31,24,25.6,20.5,11.7,29.3,28.5,23.4,5.6,26.2,14.3,3.4
Mike James,NA,None,PG,4200,PHO,@DAL,1,101,25,15,97,106,1,11,11,10,19,20,22,21.6,22.6,13.6,31.5,0,0,0,9.3,4.8,1.1
Tony Parker,1,None,PG,4200,SAS,LAC,1,106,NA,NA,99,107,-3,7,7,7,20,20,19,18.6,17.3,10.2,24.4,23,18.5,4.4,22.8,29.5,7
Jerian Grant,NA,None,PG/SG,4100,CHI,PHI,2,104,19,15,103,104,5,5,4,7,19,18,24,19.5,21,11.5,30.5,15,13.5,3.3,13.9,16.5,4
Omri Casspi,15,None,SF/PF,4100,GSW,@LAL,3,112,15,17,105,103,-8,8,4,4,28,18,15,17.8,15,5.3,24.8,27.5,22.9,5.6,25.6,34,8.3
Richaun Holmes,10,None,PF/C,4100,PHI,@CHI,2,106,17,18,99,107,3,7,9,5,22,22,16,24.6,15.9,6,25.8,23.5,24.6,6,22.7,28.3,6.9
Bam Adebayo,7,None,PF/C,4100,MIA,@ATL,1,100,13,17,100,108,8,7,5,4,25,25,18,20.2,14.6,4.9,24.3,29.5,24.9,6.1,30.5,31,7.6
Aron Baynes,NA,None,C,4100,BOS,@IND,1,105,16,14,100,106,10,6,7,5,22,23,18,18.3,15.4,7.9,22.9,19,15.9,3.9,21.7,7.8,1.9
Tyler Cavanaugh,NA,None,PF,4100,ATL,MIA,2,102,15,17,98,104,-5,6,7,4,18,22,14,21.9,12.1,2.5,21.8,0,0,0,0,0,0
Troy Daniels,NA,None,SG,4000,PHO,@DAL,1,101,15,12,97,106,-6,12,10,6,30,28,17,21.4,11.3,2,20.5,28,19.3,4.8,19,17.5,4.4
Kyle O'Quinn,1,None,PF/C,4000,NYK,@CHA,1,99,18,19,101,104,-6,6,5,5,23,18,17,20.5,19.2,9.1,29.4,21,23.1,5.8,15.7,19.8,5
Mason Plumlee,0,None,PF/C,4000,DEN,@OKC,2,103,17,15,98,101,-5,9,7,5,31,26,19,26.9,18.4,10.1,26.8,23.5,21.4,5.3,22.8,23.8,6
Cory Joseph,NA,None,PG,4000,IND,BOS,0,102,15,11,98,101,-8,6,6,7,28,26,25,15.8,18,9.8,26.1,24,16.5,4.1,28.2,15.3,3.8
Manu Ginobili,NA,None,SG/SF,4000,SAS,LAC,1,106,21,10,99,107,11,7,7,7,25,25,21,18.9,16.3,8.5,24.1,23,18.3,4.6,19.3,25.3,6.3
Marco Belinelli,NA,None,SG,3900,ATL,MIA,2,102,20,15,98,104,-2,10,10,10,21,24,25,18.1,21,12.8,29.2,21,16.3,4.2,7.3,7.8,2
Ed Davis,NA,None,PF/C,3900,POR,@MIN,1,102,12,15,98,108,-6,3,3,4,20,18,17,14.1,15.6,8.9,22.3,17,14.2,3.6,20,21.8,5.6
