PlayerName,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Pace,DEff,DvP,L2FGA,L5FGA,SFGA,L2Min,L5Min,SMin,L5FP,SFP,Floor,Ceil,ProjMin,ProjFP,ProjVal,Min,FP,Value
James Harden,15,None,PG/SG,11800,HOU,BKN,1,NA,37,30,107,108,9,22,22,21,34,36,36,57.8,57,44.6,69.4,34.5,59.5,5,35.8,73,6.2
LeBron James,20,None,SF/PF,11400,CLE,@PHI,2,109,30,31,105,102,3,19,20,19,37,38,38,62.5,57,41.7,72.3,37,55.7,4.9,31,58,5.1
Joel Embiid,14,None,C,10400,PHI,CLE,1,109,33,24,101,109,-3,18,18,16,29,31,29,51.3,45.6,31.1,60.2,32,52,5,32.8,44.8,4.3
Ben Simmons,14,None,PG/SF,10000,PHI,CLE,1,109,26,21,101,109,11,22,17,16,37,38,36,51,47.7,40.3,55,36,50.2,5,35.1,29,2.9
Blake Griffin,19,None,PF/C,9000,LAC,LAL,1,102,30,21,106,101,2,22,21,19,38,37,36,46.5,43.1,34.8,51.3,36,47.4,5.3,36.2,50.3,5.6
Damian Lillard,14,None,PG,8800,POR,@NYK,1,108,31,24,99,106,9,18,19,19,39,36,37,42.5,44.2,33.6,54.8,36.5,44.2,5,37.9,41.8,4.8
Andre Drummond,8,None,C,8400,DET,@BOS,2,104,21,21,99,97,-7,11,11,11,31,32,34,39.9,42.8,34.2,51.5,34,42.7,5.1,39.8,70.5,8.4
Kristaps Porzingis,10,None,PF/C,8300,NYK,POR,1,NA,33,25,99,100,-10,20,18,21,36,34,33,38.8,43.6,32,55.3,34,42.9,5.2,33,35.8,4.3
Kyrie Irving,4,None,PG,8200,BOS,DET,1,114,30,26,98,104,-2,18,18,19,30,33,33,44.8,40.7,31.8,49.6,34,40.3,4.9,35.9,34,4.1
Victor Oladipo,11,None,PG/SG,8000,IND,ORL,1,NA,29,21,103,107,11,17,18,18,32,34,34,43.9,39.1,28.1,50.2,34,38.6,4.8,33.1,52.5,6.6
Chris Paul,5,None,PG/SG,7900,HOU,BKN,1,NA,23,26,107,108,9,12,10,10,29,27,27,38.4,38.4,30.2,46.6,30.5,43.9,5.6,31,37,4.7
LaMarcus Aldridge,10,None,PF/C,7700,SAS,DAL,1,NA,27,25,98,106,-10,14,16,17,30,33,34,33.8,39.4,30.6,48.2,34.5,39,5.1,37.6,61.5,8
Kevin Love,8,None,PF/C,7500,CLE,@PHI,2,109,24,23,105,102,-9,12,14,13,31,32,31,38.6,38.2,27,49.4,30.5,38.1,5.1,24.8,22.3,3
Aaron Gordon,4,None,SF/PF,7400,ORL,@IND,1,NA,20,20,101,106,9,10,13,12,31,33,33,33.9,34.8,24.5,45,34,34,4.6,39.1,38,5.1
Nikola Vucevic,11,None,C,7300,ORL,@IND,1,NA,24,20,101,106,9,14,14,14,33,30,30,35.5,35.5,23.9,47.1,31.5,37.8,5.2,36.7,42.5,5.8
Spencer Dinwiddie,2,None,PG/SG,7300,BKN,@HOU,0,111,22,19,102,102,-10,15,13,10,32,31,25,37.2,27.5,15.6,39.5,34,36,4.9,31,30.5,4.2
Draymond Green,17,None,PF/C,7100,GSW,SAC,1,NA,17,16,97,108,2,5,7,8,29,33,32,32.5,34.6,27.3,41.9,34,38.8,5.5,38.8,34,4.8
Lonzo Ball,9,None,PG,7100,LAL,@LAC,4,109,20,10,99,106,-5,11,10,12,35,35,34,36.8,34.7,20.3,49,34.5,34.2,4.8,26.3,20.8,2.9
Clint Capela,12,None,C,7000,HOU,BKN,1,NA,18,26,107,108,13,7,9,8,23,25,26,32.5,34.4,23.3,45.5,28.5,38.2,5.5,28,35,5
Klay Thompson,20,None,SG,7000,GSW,SAC,1,NA,22,18,97,108,0,18,16,16,31,32,33,33.9,33.3,25.2,41.5,35.5,38.5,5.5,32.5,36.3,5.2
Al Horford,NA,None,PF/C,6900,BOS,DET,1,114,19,19,98,104,-2,10,9,10,29,33,33,31,34.9,28.5,41.3,33,34.1,4.9,33.7,27.8,4
C.J. McCollum,3,None,PG/SG,6900,POR,@NYK,1,108,25,19,99,106,3,20,17,17,36,36,36,32.6,34.3,26.2,42.5,36,33.5,4.9,39.5,25.8,3.7
Jusuf Nurkic,4,None,C,6800,POR,@NYK,1,108,28,15,99,106,-7,18,15,14,32,29,28,36.1,30.6,17.9,43.2,31.5,33.9,5,30.1,31.3,4.6
Kyle Kuzma,3,None,SF/PF,6800,LAL,@LAC,4,109,20,15,99,106,7,16,17,13,38,34,32,32.5,28.3,19.9,36.7,28,25.2,3.7,19.6,22,3.2
Tim Hardaway Jr.,5,None,SG/SF,6700,NYK,POR,1,NA,23,17,99,100,3,14,16,15,38,34,35,36.4,33.4,18.4,48.4,35,32.9,4.9,38.1,25.5,3.8
DeAndre Jordan,11,None,C,6700,LAC,LAL,1,102,12,19,106,101,1,5,7,7,33,34,33,36.8,32.3,21,43.6,34,37.5,5.6,30.9,19.8,3
Myles Turner,3,None,C,6600,IND,ORL,1,NA,20,18,103,107,2,8,11,11,26,28,29,28.6,30.8,20.2,41.3,32,35.7,5.4,30.3,27.5,4.2
Robert Covington,7,None,SF/PF,6500,PHI,CLE,1,109,18,17,101,109,9,9,10,11,31,32,32,30,32.8,23.7,41.9,33.5,32.1,4.9,27.4,13.5,2.1
Lou Williams,22,None,PG/SG,6500,LAC,LAL,1,102,27,19,106,101,4,15,14,13,37,33,28,30.2,28.8,16.8,40.8,36.5,38.6,5.9,37.9,53.5,8.2
Elfrid Payton,2,None,PG,6400,ORL,@IND,1,NA,23,16,101,106,-1,13,10,9,26,27,26,30.3,27.5,14.8,40.2,30.5,32.9,5.1,26.3,26.8,4.2
Jaylen Brown,1,None,SG/SF,6300,BOS,DET,1,114,20,15,98,104,-11,12,14,13,29,33,33,32,28.6,21.7,35.5,31.5,26.5,4.2,32.6,18.5,2.9
Brandon Ingram,6,None,SG/SF,6100,LAL,@LAC,4,109,20,12,99,106,1,11,14,13,36,35,35,35.8,30.5,21.6,39.5,35.5,29.2,4.8,22.3,24.8,4.1
Tobias Harris,1,None,SF/PF,6100,DET,@BOS,2,104,22,18,99,97,-12,13,14,16,31,33,34,27.1,31.3,21.6,41,33.5,29.3,4.8,34.9,43.5,7.1
Darren Collison,8,None,PG,6100,IND,ORL,1,NA,18,18,103,107,8,11,10,10,34,33,33,31.3,30,18,41.9,31.5,29.5,4.8,27.9,18.5,3
Pau Gasol,3,None,PF/C,6000,SAS,DAL,1,NA,20,21,98,106,0,13,9,8,25,25,25,29.9,29.4,20.8,38.1,26,29.3,4.9,34.9,42,7
Thaddeus Young,2,None,SF/PF,6000,IND,ORL,1,NA,17,15,103,107,2,12,12,12,35,34,34,31.8,28.9,22,35.9,34.5,30.1,5,29.8,19.8,3.3
Evan Fournier,1,None,SG/SF,5900,ORL,@IND,1,NA,22,18,101,106,-13,11,13,14,33,32,33,23.5,30.5,21,40,33,28,4.7,36.4,21,3.6
Jayson Tatum,1,None,SF/PF,5800,BOS,DET,1,114,17,17,98,104,8,9,10,10,30,32,31,27.6,27.2,19.3,35,31.5,26,4.5,34.7,22.3,3.8
Avery Bradley,4,None,PG/SG,5700,DET,@BOS,2,104,25,14,99,97,-14,11,13,15,29,32,32,25.3,26.7,18.7,34.7,33,26.5,4.6,37.6,24.5,4.3
Domantas Sabonis,3,None,PF/C,5600,IND,ORL,1,NA,21,20,103,107,2,12,10,9,29,24,26,24.6,28.4,19.6,37.3,25,27,4.8,26.7,36,6.4
Reggie Jackson,1,None,PG,5600,DET,@BOS,2,104,26,19,99,97,-10,8,11,13,25,27,28,25.5,30.2,24.1,36.3,28.5,27,4.8,28.4,33,5.9
Brook Lopez,0,None,C,5500,LAL,@LAC,4,109,24,18,99,106,3,8,11,12,21,22,24,24.9,27.4,14.7,40.1,21.5,24,4.4,16.1,11.8,2.1
Harrison Barnes,8,None,SF/PF,5500,DAL,@SAS,1,107,24,16,97,101,-4,16,16,16,34,35,35,33.6,32.4,24.6,40.3,36,30.1,5.5,35.7,28.5,5.2
Zach Randolph,6,None,PF/C,5400,SAC,@GSW,1,94,25,18,105,100,2,15,11,12,30,25,25,27.6,25.3,14.7,35.9,26.5,26.2,4.9,21.8,23,4.3
Larry Nance Jr.,NA,None,SF/PF,5400,LAL,@LAC,4,109,17,19,99,106,7,7,6,7,23,24,23,26.1,25.3,15,35.5,21.5,19.7,3.6,29.7,29,5.4
Dwyane Wade,2,None,PG/SG,5400,CLE,@PHI,2,109,24,14,105,102,5,12,11,10,26,26,23,29.2,23.3,11.3,35.4,22.5,23.9,4.4,24.7,31,5.7
Julius Randle,4,None,PF/C,5300,LAL,@LAC,4,109,23,18,99,106,7,10,12,9,29,27,22,28.4,25.2,17.5,32.9,21.5,23.5,4.4,24.1,16.8,3.2
Kentavious Caldwell-Pope,9,None,SG,5300,LAL,@LAC,4,109,16,12,99,106,5,12,11,11,37,38,34,33.5,27.4,19.7,35.2,35.5,26.1,4.9,37.3,46,8.7
Marcus Smart,2,None,SG/SF,5300,BOS,DET,1,114,20,10,98,104,-2,8,9,10,30,31,31,24.6,25.7,17.8,33.5,31,26,4.9,31.5,37.3,7
Dario Saric,1,None,PF/C,5200,PHI,CLE,1,109,17,11,101,109,3,12,11,10,30,31,28,28.1,22.4,12.3,32.5,27,23,4.4,30.3,22,4.2
Eric Gordon,2,None,SG,5200,HOU,BKN,1,NA,26,16,107,108,6,12,12,16,27,29,32,20.9,29.5,20.5,38.5,26.5,24.8,4.8,28.6,18.5,3.6
Trevor Ariza,4,None,SG/SF,5200,HOU,BKN,1,NA,13,13,107,108,-2,13,10,10,33,34,35,27.9,25.3,17.9,32.6,31.5,25.7,4.9,28.9,19.5,3.8
J.J. Redick,12,None,SG/SF,5100,PHI,CLE,1,109,19,14,101,109,9,14,14,13,32,34,34,29.6,28,19.2,36.9,32.5,27.5,5.4,36.5,19.5,3.8
Willie Cauley-Stein,7,None,PF/C,5100,SAC,@GSW,1,94,19,17,105,100,5,12,12,9,29,29,25,30.9,23.7,13.3,34.1,27,25.6,5,29.3,43,8.4
Kyle Anderson,4,None,PG/SF,5100,SAS,DAL,1,NA,15,18,98,106,9,9,8,7,28,29,28,28.2,24.9,17.4,32.4,31,26.7,5.2,34,36,7.1
Dennis Smith Jr.,1,None,PG/SG,5000,DAL,@SAS,1,107,29,11,97,101,-18,17,14,15,28,26,29,23,29,20.8,37.1,29,26.6,5.3,28.3,27.3,5.5
Austin Rivers,7,None,PG/SG,4900,LAC,LAL,1,102,20,10,106,101,7,13,13,12,37,35,34,23.9,23.4,15.2,31.6,35.5,26.8,5.5,37.5,39,8
Jordan Clarkson,1,None,PG/SG,4800,LAL,@LAC,4,109,28,19,99,106,-5,12,12,12,21,23,22,21.9,23.3,14.5,32.2,23.5,22.2,4.6,25.5,34,7.1
Marcus Morris,1,None,SF/PF,4800,BOS,DET,1,114,23,17,98,104,-2,11,10,11,24,25,24,23.9,24.6,19.2,29.9,25,21.6,4.5,22.5,23.5,4.9
Bojan Bogdanovic,6,None,SG/SF,4800,IND,ORL,1,NA,17,15,103,107,9,14,14,11,35,35,31,26.6,23.5,14,33,32.5,24.5,5.1,37.2,26.3,5.5
Courtney Lee,3,None,SG/SF,4700,NYK,POR,1,NA,16,15,99,100,-7,13,10,10,35,33,33,29.7,25.6,18.2,33,35,25.5,5.4,35.6,19,4
T.J. McConnell,2,None,PG,4700,PHI,CLE,1,109,16,14,101,109,11,10,7,6,32,28,25,26.1,22.3,10.7,33.8,25,23,4.9,27.6,23.5,5
Ryan Anderson,3,None,PF/C,4700,HOU,BKN,1,NA,14,14,107,108,8,10,9,9,28,29,31,23.4,22.8,15.3,30.3,25.5,20.3,4.3,26.1,18,3.8
De'Aaron Fox,5,None,PG,4600,SAC,@GSW,1,94,24,11,105,100,-4,10,9,11,26,28,27,20.9,23.1,16.9,29.4,28,22.8,5,23.1,20,4.3
Trevor Booker,14,None,PF/C,4600,BKN,@HOU,0,111,21,16,102,102,-12,10,10,9,25,25,23,27.3,24.7,16.4,33,31,31,6.7,20.3,19.3,4.2
Buddy Hield,1,None,SG/SF,4500,SAC,@GSW,1,94,24,17,105,100,-4,13,10,11,21,21,23,22,23,12.8,33.2,25,21.9,4.9,15.2,6.8,1.5
Danny Green,0,None,SG/SF,4400,SAS,DAL,1,NA,18,12,98,106,-2,12,10,10,30,31,30,25.5,24.4,14.6,34.2,30,22.8,5.2,33.8,32.8,7.5
Terry Rozier,NA,None,PG/SG,4400,BOS,DET,1,114,19,15,98,104,-2,10,8,9,25,23,24,23,22.5,13.3,31.7,20,16.1,3.7,19.3,5,1.1
Wesley Johnson,7,None,SF/PF,4400,LAC,LAL,1,102,13,13,106,101,-1,8,9,6,38,35,25,29.4,18.4,8.7,28.1,33,24.6,5.6,29,9.3,2.1
Caris LeVert,12,None,SG/SF,4300,BKN,@HOU,0,111,21,11,102,102,8,8,9,9,28,24,26,24.1,22.2,16.8,27.7,33.5,29.7,6.9,29,27.5,6.4
Dirk Nowitzki,1,None,PF/C,4300,DAL,@SAS,1,107,19,15,97,101,-5,11,11,10,25,26,25,30.4,23.2,15,31.3,25.5,22.5,5.2,25.6,19,4.4
Patty Mills,NA,None,PG,4300,SAS,DAL,1,NA,18,11,98,106,7,6,8,9,24,29,26,21.9,19.4,10.9,27.9,23.5,19.2,4.5,28.4,22,5.1
Jonathon Simmons,1,None,SG/SF,4200,ORL,@IND,1,NA,23,15,101,106,-13,13,9,10,24,23,25,15.7,21.6,13.3,29.9,28,21.6,5.1,34.4,26.8,6.4
George Hill,NA,None,PG/SG,4200,SAC,@GSW,1,94,17,12,105,100,-4,5,8,8,23,27,26,20.9,18.8,10.4,27.2,25,19.2,4.6,30.7,21.5,5.1
Dejounte Murray,NA,None,PG,4100,SAS,DAL,1,NA,21,13,98,106,7,8,5,7,24,19,22,14.3,20.4,10.4,30.4,0,0,0,5.5,5.3,1.3
Lance Stephenson,10,None,SG/SF,4100,IND,ORL,1,NA,19,11,103,107,11,9,6,7,29,24,21,23.6,18.2,10.1,26.4,22.5,19.8,4.8,24,38.5,9.4
J.R. Smith,2,None,SG/SF,4100,CLE,@PHI,2,109,13,7,105,102,5,9,8,8,35,33,30,17.8,17,9.6,24.4,32.5,19.4,4.7,27.8,17.8,4.3
Evan Turner,1,None,SG/SF,4000,POR,@NYK,1,108,17,8,99,106,3,10,7,8,21,23,27,12.8,18.2,10,26.4,22.5,15.2,3.8,20.4,19.3,4.8
Wesley Matthews,1,None,SG/SF,4000,DAL,@SAS,1,107,16,10,97,101,0,9,11,11,35,36,36,25.9,24,13.2,34.9,35.5,22.2,5.5,32.5,26,6.5
Kyle O'Quinn,7,None,PF/C,4000,NYK,POR,1,NA,19,18,99,100,-12,6,5,5,25,18,17,20.3,19.6,7.7,31.4,24.5,27.3,6.8,24.9,25.8,6.5
Terrence Ross,NA,None,SG/SF,4000,ORL,@IND,1,NA,15,11,101,106,0,3,6,8,25,26,27,18.7,18.9,10.3,27.5,25.5,17.8,4.5,25.4,21.8,5.5
J.J. Barea,5,None,PG/SG,4000,DAL,@SAS,1,107,27,17,97,101,-18,8,9,10,20,22,22,24.2,23.8,17.2,30.4,21.5,20.2,5,22.1,37.8,9.4
Tony Parker,NA,None,PG,3900,SAS,DAL,1,NA,NA,NA,98,106,7,0,0,0,0,0,0,0,0,0,0,18.5,14.8,3.8,14.1,12,3.1
Noah Vonleh,NA,None,PF/C,3900,POR,@NYK,1,108,10,13,99,106,-11,5,4,4,28,25,22,23.5,17.5,8,27.1,25.5,18.8,4.8,31.1,24.5,6.3
Jae Crowder,NA,None,SF/PF,3900,CLE,@PHI,2,109,15,10,105,102,-9,8,8,8,27,27,27,19.2,16.9,9.5,24.2,26,19.6,5,20.6,5.5,1.4
Andre Iguodala,NA,None,SG/SF,3900,GSW,SAC,1,NA,11,12,97,108,1,7,6,5,24,26,26,19.4,17.2,12.4,22,24,18.6,4.8,25.6,19.3,4.9
Jarrett Jack,4,None,PG,3900,NYK,POR,1,NA,15,10,99,100,-8,9,8,6,33,30,27,25.8,19.7,11.7,27.6,30.5,22.3,5.7,20.6,12.8,3.3
Richaun Holmes,NA,None,PF/C,3800,PHI,CLE,1,109,NA,NA,101,109,3,4,2,3,12,12,12,9.6,11.2,4.1,18.3,0,0,0,4.7,3.3,0.9
Yogi Ferrell,NA,None,PG/SG,3800,DAL,@SAS,1,107,15,10,97,101,-18,5,6,8,23,27,29,14.3,17.9,10.5,25.2,25,13.9,3.7,20.8,4.3,1.1
Omri Casspi,14,None,SF/PF,3800,GSW,SAC,1,NA,16,19,97,108,1,8,7,4,25,18,13,18.6,13.8,5,22.7,25.5,23.2,6.1,30.4,16,4.2
Jeff Green,NA,None,SF/PF,3700,CLE,@PHI,2,109,20,16,105,102,3,7,7,7,16,18,20,15.8,17.3,7.4,27.1,15.5,12.4,3.4,27.4,34,9.2
Stanley Johnson,NA,None,SG/SF,3700,DET,@BOS,2,104,13,8,99,97,-12,7,7,8,29,28,30,15.6,17.3,9.7,24.9,31,18,4.9,34.6,15.8,4.3
P.J. Tucker,1,None,SF/PF,3700,HOU,BKN,1,NA,10,10,107,108,-2,4,5,5,32,29,29,20.1,19.7,13.3,26.1,24,17.2,4.6,21,17.5,4.7
Joakim Noah,NA,Q,C,3700,NYK,POR,1,NA,NA,NA,99,100,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,5.3,1.4
Manu Ginobili,NA,None,SG/SF,3700,SAS,DAL,1,NA,22,11,98,106,-2,6,6,7,16,19,20,12.8,15.8,8.6,22.9,18.5,16,4.3,16.9,2.3,0.6
Bryn Forbes,NA,None,PG/SG,3700,SAS,DAL,1,NA,17,11,98,106,-2,6,5,5,17,17,15,8.3,9.5,1.2,17.9,17,10.5,2.8,19,13.8,3.7
Michael Beasley,1,None,SF/PF,3700,NYK,POR,1,NA,25,14,99,100,3,13,9,6,20,19,14,20.1,12.7,1.8,23.6,0,0,0,14.4,15.3,4.1
Shabazz Napier,NA,None,PG/SG,3700,POR,@NYK,1,108,18,18,99,106,9,5,7,5,17,22,16,16.6,13.7,3.3,24.1,20,16.3,4.4,18.1,17,4.6
D.J. Augustin,NA,None,PG/SG,3700,ORL,@IND,1,NA,18,15,101,106,-1,7,5,5,15,17,20,11.9,17.6,7.6,27.6,16,11.7,3.2,21.8,17.8,4.8
Bogdan Bogdanovic,NA,None,SG/SF,3700,SAC,@GSW,1,94,19,12,105,100,-4,9,10,9,25,25,24,18.6,17.6,12.2,23,24,17.1,4.6,21.9,18,4.9
Jerryd Bayless,1,None,PG/SG,3600,PHI,CLE,1,109,14,9,101,109,11,7,7,8,23,29,30,18.8,19,12,26.1,20.5,13.8,3.8,21.2,6.8,1.9
Joe Harris,16,None,SG/SF,3600,BKN,@HOU,0,111,16,15,102,102,8,8,8,8,29,26,23,22.4,18.2,10.4,26,35,26.7,7.4,28.2,16.5,4.6
Kyle Korver,NA,None,SG/SF,3600,CLE,@PHI,2,109,16,17,105,102,5,9,7,8,27,24,22,16.9,18.3,9.8,26.8,22.5,16.6,4.6,21.3,15.3,4.3
Iman Shumpert,NA,None,PG/SG,3600,CLE,@PHI,2,109,13,7,105,102,5,5,5,5,23,27,22,15.1,13.2,3.2,23.2,17,10.2,2.8,6.9,0,0
Brandon Paul,NA,None,SG,3600,SAS,DAL,1,NA,14,11,98,106,-2,2,1,3,8,5,12,3,8.1,-1.6,17.8,13,8.3,2.3,4,7.8,2.2
Ish Smith,NA,None,PG,3600,DET,@BOS,2,104,24,17,99,97,-10,9,9,9,20,21,20,17.6,19.2,13.3,25,19.5,18,5,19.6,13.8,3.8
Frank Ntilikina,NA,None,PG/SG,3600,NYK,POR,1,NA,19,7,99,100,-8,4,4,5,15,15,20,8.1,15.5,7,24,16,12.8,3.6,20.3,8.3,2.3
Luc Richard Mbah a Moute,1,None,SF/PF,3600,HOU,BKN,1,NA,12,11,107,108,8,5,5,6,23,25,27,19,18.3,9,27.7,20.5,13.2,3.7,20.4,14.3,4
Caleb Swanigan,NA,None,PF,3500,POR,@NYK,1,108,19,7,99,106,-11,1,2,3,2,8,10,5.7,8,0.4,15.6,0,0,0,0,0,0
Maurice Harkless,NA,None,SF/PF,3500,POR,@NYK,1,108,11,8,99,106,5,3,2,5,17,19,26,8.4,14.4,8.3,20.6,18.5,10.8,3.1,15.5,12.3,3.5
Anthony Tolliver,NA,None,SF/PF,3500,DET,@BOS,2,104,15,15,99,97,-3,5,5,5,16,18,18,14.3,14.4,8.6,20.2,18,12.5,3.6,15.4,8.8,2.5
Devin Harris,NA,None,PG/SG,3500,DAL,@SAS,1,107,22,13,97,101,-18,7,6,7,19,17,18,14.3,15.1,8.4,21.8,17,13.5,3.9,25.7,22.5,6.4
Amir Johnson,NA,None,PF/C,3500,PHI,CLE,1,109,14,14,101,109,3,5,3,4,18,16,16,17.9,15.9,6.8,25,15.5,14.4,4.1,8.4,10.8,3.1
Garrett Temple,2,None,PG/SG,3500,SAC,@GSW,1,94,15,8,105,100,-4,8,8,7,31,29,25,14.2,15.8,9,22.6,28,18.1,5.2,30.4,25.8,7.4
Cory Joseph,NA,None,PG,3500,IND,ORL,1,NA,16,12,103,107,8,4,5,7,23,25,24,14.9,18.4,10,26.9,23,17.5,5,30.9,23.8,6.8
David West,1,None,PF/C,3500,GSW,SAC,1,NA,21,26,97,108,2,4,4,4,13,12,12,14.9,15.6,9.3,22,13,15.6,4.5,16.6,22.3,6.4
Shaun Livingston,4,None,PG/SG,3500,GSW,SAC,1,NA,16,11,97,108,-1,5,4,5,13,15,16,9.9,12.3,6.4,18.1,21.5,16.9,4.8,17.8,14.8,4.2
Guillermo Hernangomez,NA,None,PF/C,3500,NYK,POR,1,NA,NA,NA,99,100,-12,6,4,4,20,11,10,8.8,9.1,3.2,15.1,15,16.1,4.6,15.5,18.3,5.2
Isaiah Whitehead,NA,None,PG/SG,3500,BKN,@HOU,0,111,NA,NA,102,102,8,3,4,4,8,10,10,9.3,9.3,-0.2,18.9,15.5,12.7,3.6,27.6,32.3,9.2
Tarik Black,1,None,PF/C,3500,HOU,BKN,1,NA,15,18,107,108,8,4,4,3,8,10,9,12.2,10,1.2,18.8,13,12.5,3.6,15.9,11.8,3.4
Aron Baynes,NA,None,C,3500,BOS,DET,1,114,16,13,98,104,-1,7,4,5,23,17,19,13.1,15.6,7.5,23.7,13,11.2,3.2,12.7,14,4
Jarrett Allen,1,None,PF/C,3400,BKN,@HOU,0,111,13,13,102,102,3,6,4,4,18,15,15,12.8,12.1,5.8,18.4,17.5,15,4.4,18.8,9.5,2.8
Al Jefferson,NA,None,PF/C,3400,IND,ORL,1,NA,21,22,103,107,2,8,7,6,17,15,15,18.8,18.4,10.3,26.6,0,0,0,0,0,0
Kosta Koufos,1,None,C,3400,SAC,@GSW,1,94,12,16,105,100,5,6,5,4,25,25,21,20.5,17.6,9.2,25.9,19.5,15.4,4.5,9.6,1.5,0.4
Nerlens Noel,NA,None,C,3400,DAL,@SAS,1,107,14,16,97,101,2,2,1,3,4,4,13,2.8,12.1,2.3,21.9,0,0,0,0,0,0
Skal Labissiere,1,None,PF/C,3400,SAC,@GSW,1,94,22,14,105,100,2,6,7,7,16,15,18,12.1,15.8,7.9,23.7,14,12.5,3.7,15.3,18.5,5.4
Daniel Theis,NA,None,PF/C,3400,BOS,DET,1,114,16,12,98,104,-2,4,2,3,15,9,13,6.3,11.3,3.4,19.3,0,0,0,10.4,14,4.1
Ivica Zubac,NA,None,C,3400,LAL,@LAC,4,109,NA,NA,99,106,3,1,1,1,2,2,2,1.6,1.6,-0.4,3.6,0,0,0,0,0,0
Channing Frye,NA,None,PF/C,3400,CLE,@PHI,2,109,14,15,105,102,-9,5,5,3,18,18,11,14.9,9.3,2,16.5,18.5,16,4.7,18.6,23.8,7
Shelvin Mack,NA,None,PG,3400,ORL,@IND,1,NA,16,13,101,106,-1,3,4,5,13,18,20,15.3,16.6,11.2,22,0,0,0,0,0,0
Ed Davis,NA,None,PF/C,3400,POR,@NYK,1,108,13,15,99,106,-11,3,3,4,16,17,19,16.3,17.7,12.4,22.9,16,13.3,3.9,17.8,12.3,3.6
Doug McDermott,NA,None,SF/PF,3400,NYK,POR,1,NA,15,11,99,100,3,7,8,7,21,24,23,14.6,14.3,8.4,20.2,25,15.8,4.6,20.1,7.8,2.3
Tyler Zeller,NA,None,C,3400,BKN,@HOU,0,111,16,17,102,102,3,6,4,6,20,20,19,14.3,15.3,8.6,22,22,17.7,5.2,16.8,18.3,5.4
Quincy Acy,NA,None,PF/C,3300,BKN,@HOU,0,111,14,7,102,102,3,6,5,5,21,20,18,13.7,13,8.7,17.3,17,12.9,3.9,20.6,14.5,4.4
Justin Jackson,NA,None,SG/SF,3300,SAC,@GSW,1,94,17,7,105,100,6,9,10,7,18,23,20,13.4,10.8,5.2,16.4,0,0,0,0,0,0
Luke Kennard,NA,None,SG,3300,DET,@BOS,2,104,18,10,99,97,-14,7,6,6,16,16,17,12.6,11.6,4,19.2,13.5,9.3,2.8,16.6,8.3,2.5
Dwight Powell,NA,None,PF/C,3300,DAL,@SAS,1,107,14,14,97,101,-5,5,5,5,17,18,18,14.7,14.8,8.9,20.6,18,14.4,4.4,20.2,25.8,7.8
Jonathan Isaac,NA,D,SF/PF,3300,ORL,@IND,1,NA,14,12,101,106,9,5,7,5,19,22,20,16.3,16.2,11.1,21.3,0,0,0,0,0,0
Ramon Sessions,NA,None,PG,3300,NYK,POR,1,NA,NA,NA,99,100,-8,3,5,5,8,16,17,14.4,13.7,4.4,23,0,0,0,7.2,5,1.5
Nick Young,4,None,SG,3300,GSW,SAC,1,NA,18,14,97,108,0,7,6,5,15,14,13,10.9,11.3,1.4,21.3,17,13.9,4.2,12.2,8.8,2.7
Damyean Dotson,NA,None,SG,3300,NYK,POR,1,NA,NA,NA,99,100,-7,3,3,2,11,8,7,5.3,4.8,-1.3,11,0,0,0,2.2,0,0
Sean Kilpatrick,4,None,PG/SG,3300,BKN,@HOU,0,111,NA,NA,102,102,8,8,6,5,17,11,10,8,8.2,1.4,14.9,23.5,21.4,6.5,28.1,23,7
Lance Thomas,NA,None,SF/PF,3300,NYK,POR,1,NA,13,5,99,100,3,2,4,4,12,13,15,5.9,7.7,3,12.3,14.5,8.2,2.5,5.3,3.8,1.2
Pat Connaughton,1,None,SG/SF,3200,POR,@NYK,1,108,13,10,99,106,3,5,3,5,26,18,19,13,11.5,3.8,19.2,24.5,15.4,4.8,25.7,24,7.5
Bismack Biyombo,NA,None,PF/C,3200,ORL,@IND,1,NA,13,10,101,106,9,6,4,3,21,19,16,15.5,12.9,7.1,18.7,17,13.8,4.3,7.5,6.5,2
Meyers Leonard,NA,None,PF/C,3200,POR,@NYK,1,108,NA,NA,99,106,-7,3,3,4,10,11,11,9.3,9.5,1.5,17.5,0,0,0,0,0,0
Patrick McCaw,2,None,SG/SF,3200,GSW,SAC,1,NA,11,9,97,108,0,4,2,3,12,8,13,4.5,6.7,0.8,12.7,20.5,12.8,4,33.3,40.3,12.6
Semi Ojeleye,NA,None,SF/PF,3200,BOS,DET,1,114,10,5,98,104,-2,7,3,3,23,13,14,6.8,6.3,1.1,11.5,0,0,0,6.6,8.8,2.8
Shane Larkin,NA,None,PG,3200,BOS,DET,1,114,17,5,98,104,-2,0,2,3,5,7,10,3,5.8,-0.7,12.3,0,0,0,0,0,0
Timofey Mozgov,NA,None,C,3200,BKN,@HOU,0,111,14,11,102,102,3,3,4,4,12,15,16,11.2,11.9,6.5,17.2,0,0,0,19.5,18,5.6
Ante Zizic,NA,None,PF/C,3200,CLE,@PHI,2,109,NA,NA,105,102,-9,1,1,1,1,3,4,2,3.9,-1.1,8.8,0,0,0,4.6,1.5,0.5
